vm	cores	ram	multicore	num_read_pairs	bismark_align_mins	bismark_task_mins	bismark_task_hours	cost_per_hour	hours_per_1B_reads_30X	cost_per_1B_reads_30X	total_cost	workflow
n1-standard-16	16	60	3	147037372	780	1013	16.88333333	0.76	57.411708	43.63289808	12.83133333	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/66c83599-bf02-4f6e-aba0-45bd62a90c19/55261068-3cae-4942-b0d0-2dee10982af6
n1-standard-16	16	60	4	147037372	734	1008	16.8	0.76	57.12833333	43.41753333	12.768	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/b507ea64-fb16-4289-a708-0c2482ba7397/81a906d7-9653-49c0-90b0-ccd4e37809d3
n1-standard-16	16	60	5	147037372	615	844	14.06666667	0.76	47.83364418	36.35356958	10.69066667	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/acd02ab1-ffd4-469b-a613-4ccb8b6781fb/6cea7bdb-9887-4d28-a8ac-ceb6d07c8643
n1-standard-32	32	120	6	147037372	595	692	11.53333333	1.52	39.21905423	59.61296243	17.53066667	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/eed69d14-9812-4551-86ae-003f69ab824e/91d0f74c-b744-44a5-a2b2-fa114b500d1c
n1-standard-64	64	240	9	147037372	307	396	6.6	3.04	22.44327381	68.22755238	20.064	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/2d869e01-4023-4346-834b-d825f45c3a53/9363b308-e21f-4369-ad12-2294d60fe24f
n1-standard-64	64	240	12	147037372	281	371	6.183333333	3.04	21.02640046	63.92025741	18.79733333	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/8cab3ad4-9249-4e6a-ac30-34797fd7504e/e6d281df-8c4b-4fcd-97f0-8c06c35a12e7
n1-standard-64	64	240	15	147037372	253	323	5.383333333	3.04	18.30600364	55.65025106	16.36533333	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/0336bbe6-bb04-471e-b537-b767ab922c8d/48c612be-fdf6-4990-ae15-9a9e7e2634f3
n1-standard-64	64	240	18	147037372	245	320	5.333333333	3.04	18.13597884	55.13337566	16.21333333	https://portal.firecloud.org/#workspaces/broad-firecloud-methylation/Methylation_Pipeline/monitor/f05b53ed-4216-4580-acf0-5c2b436d64fa/eab7e3b1-f2dd-41af-8d89-2b0ba91f192b
